start_time,end_time,goes_class
2012-06-06 19:54:00,2012-06-06 20:13:00,M2.1
2012-06-09 11:20:00,2012-06-09 11:35:00,M1.9
2012-06-09 16:45:00,2012-06-09 16:56:00,M1.8
2012-06-10 06:39:00,2012-06-10 06:50:00,M1.3
2012-06-13 11:29:00,2012-06-13 14:31:00,M1.2
2012-06-14 12:52:00,2012-06-14 15:56:00,M1.9
2012-06-28 16:07:00,2012-06-28 16:15:00,M2.4
2012-06-29 09:13:00,2012-06-29 09:22:00,M2.2
2012-06-30 12:48:00,2012-06-30 12:54:00,M1.0
2012-06-30 18:26:00,2012-06-30 18:34:00,M1.6
2012-07-01 19:11:00,2012-07-01 19:21:00,M2.8
2012-07-02 00:26:00,2012-07-02 00:40:00,M1.1
2012-07-02 10:43:00,2012-07-02 10:57:00,M5.6
2012-07-02 19:59:00,2012-07-02 20:13:00,M3.8
2012-07-02 23:49:00,2012-07-03 00:03:00,M2.0
2012-07-04 04:28:00,2012-07-04 04:45:00,M2.3
2012-07-04 09:47:00,2012-07-04 09:57:00,M5.3
2012-07-04 12:07:00,2012-07-04 12:32:00,M2.3
2012-07-04 14:35:00,2012-07-04 14:42:00,M1.3
2012-07-04 16:33:00,2012-07-04 16:48:00,M1.8
2012-07-04 22:03:00,2012-07-04 22:15:00,M4.6
2012-07-05 01:05:00,2012-07-05 01:15:00,M2.4
2012-07-05 02:35:00,2012-07-05 02:47:00,M2.2
2012-07-05 03:25:00,2012-07-05 03:39:00,M4.7
2012-07-05 06:49:00,2012-07-05 07:05:00,M1.1
2012-07-05 10:44:00,2012-07-05 10:50:00,M1.8
2012-07-05 13:05:00,2012-07-05 13:32:00,M1.2
2012-07-05 20:09:00,2012-07-05 20:28:00,M1.6
2012-07-05 21:37:00,2012-07-05 21:51:00,M1.6
2012-07-06 01:37:00,2012-07-06 01:42:00,M2.9
2012-07-06 02:44:00,2012-07-06 02:58:00,M1.0
2012-07-06 10:24:00,2012-07-06 10:32:00,M1.8
2012-07-07 03:10:00,2012-07-07 03:23:00,M1.2
2012-07-07 08:18:00,2012-07-07 08:39:00,M1.0
2012-07-07 10:57:00,2012-07-07 11:07:00,M2.6
2012-07-08 05:41:00,2012-07-08 05:52:00,M1.3
2012-07-08 09:44:00,2012-07-08 09:57:00,M1.1
2012-07-08 12:06:00,2012-07-08 12:13:00,M1.4
2012-07-08 16:23:00,2012-07-08 16:42:00,M6.9
2012-07-09 23:03:00,2012-07-09 23:11:00,M1.1
2012-07-10 04:58:00,2012-07-10 05:31:00,M1.7
2012-07-10 06:05:00,2012-07-10 06:47:00,M2.0
2012-07-14 04:51:00,2012-07-14 05:05:00,M1.0
2012-07-17 12:03:00,2012-07-17 19:04:00,M1.7
2012-07-19 04:17:00,2012-07-19 06:56:00,M7.7
2012-07-27 17:17:00,2012-07-27 17:32:00,M2.7
2012-07-28 20:44:00,2012-07-28 21:04:00,M6.1
2012-07-29 06:15:00,2012-07-29 06:29:00,M2.3
2012-07-30 15:39:00,2012-07-30 15:53:00,M1.1
2012-08-06 04:33:00,2012-08-06 04:41:00,M1.6
2012-08-11 11:55:00,2012-08-11 12:57:00,M1.0
2012-08-17 13:12:00,2012-08-17 13:23:00,M2.4
2012-08-17 17:08:00,2012-08-17 17:27:00,M1.0
2012-08-18 00:24:00,2012-08-18 01:07:00,M5.5
2012-08-18 03:17:00,2012-08-18 03:30:00,M1.8
2012-08-18 16:02:00,2012-08-18 16:09:00,M2.0
2012-08-18 22:46:00,2012-08-18 23:00:00,M1.0
2012-08-18 23:15:00,2012-08-18 23:32:00,M1.3
2012-08-30 12:02:00,2012-08-30 12:14:00,M1.3
2012-09-06 04:06:00,2012-09-06 04:20:00,M1.6
2012-09-08 17:35:00,2012-09-08 18:20:00,M1.4
2012-09-09 21:50:00,2012-09-09 22:56:00,M1.2
2012-09-30 04:27:00,2012-09-30 04:42:00,M1.3
2012-10-20 18:05:00,2012-10-20 18:19:00,M9.0
2012-10-21 19:46:00,2012-10-21 20:20:00,M1.3
2012-10-22 18:38:00,2012-10-22 19:01:00,M5.0
2012-11-08 02:08:00,2012-11-08 02:55:00,M1.7
2012-11-11 02:11:00,2012-11-11 02:52:00,M1.0
2012-11-12 23:13:00,2012-11-12 23:33:00,M2.0
2012-11-13 01:58:00,2012-11-13 02:06:00,M6.0
2012-11-13 05:42:00,2012-11-13 05:54:00,M2.5
2012-11-13 20:50:00,2012-11-13 20:57:00,M2.8
2012-11-14 03:59:00,2012-11-14 04:07:00,M1.1
2012-11-20 19:21:00,2012-11-20 19:32:00,M1.6
2012-11-21 06:45:00,2012-11-21 07:08:00,M1.4
2012-11-21 15:10:00,2012-11-21 15:38:00,M3.5
2012-11-27 15:52:00,2012-11-27 16:03:00,M1.6
2012-11-27 21:05:00,2012-11-27 21:30:00,M1.0
2012-11-28 21:20:00,2012-11-28 21:48:00,M2.2
2013-01-05 09:26:00,2013-01-05 09:34:00,M1.7
2013-01-11 08:43:00,2013-01-11 09:17:00,M1.2
2013-01-11 14:51:00,2013-01-11 15:24:00,M1.0
2013-01-13 00:45:00,2013-01-13 00:52:00,M1.0
2013-01-13 08:35:00,2013-01-13 08:40:00,M1.7
2013-02-17 15:45:00,2013-02-17 15:52:00,M1.9
2013-03-05 07:47:00,2013-03-05 07:59:00,M1.2
2013-03-15 05:46:00,2013-03-15 08:35:00,M1.1
2013-03-21 21:42:00,2013-03-21 22:36:00,M1.6
2013-04-05 17:34:00,2013-04-05 18:04:00,M2.2
2013-04-11 06:55:00,2013-04-11 07:29:00,M6.5
2013-04-12 19:52:00,2013-04-12 20:46:00,M3.3
2013-04-22 10:22:00,2013-04-22 10:31:00,M1.0
2013-05-02 04:58:00,2013-05-02 05:19:00,M1.1
2013-05-03 16:39:00,2013-05-03 17:22:00,M1.3
2013-05-03 17:24:00,2013-05-03 17:41:00,M5.7
2013-05-05 17:42:00,2013-05-05 17:58:00,M1.4
2013-05-10 00:44:00,2013-05-10 01:08:00,M3.9
2013-05-10 12:37:00,2013-05-10 13:04:00,M1.3
2013-05-12 20:17:00,2013-05-12 21:03:00,M1.9
2013-05-12 22:37:00,2013-05-12 22:52:00,M1.2
2013-05-13 11:57:00,2013-05-13 12:09:00,M1.3
2013-05-16 21:36:00,2013-05-16 22:03:00,M1.3
2013-05-17 08:43:00,2013-05-17 09:19:00,M3.2
2013-05-20 05:16:00,2013-05-20 06:03:00,M1.7
2013-05-22 13:08:00,2013-05-22 14:08:00,M5.0
2013-05-31 19:52:00,2013-05-31 20:06:00,M1.0
2013-06-05 08:14:00,2013-06-05 09:26:00,M1.3
2013-06-07 22:11:00,2013-06-07 23:04:00,M5.9
2013-06-21 02:30:00,2013-06-21 03:43:00,M2.9
2013-06-23 20:48:00,2013-06-23 20:59:00,M2.9
2013-07-03 07:00:00,2013-07-03 07:18:00,M1.5
2013-08-12 10:21:00,2013-08-12 10:47:00,M1.5
2013-08-17 18:16:00,2013-08-17 18:35:00,M3.3
2013-08-17 18:49:00,2013-08-17 19:54:00,M1.4
2013-10-09 01:23:00,2013-10-09 01:56:00,M2.8
2013-10-13 00:12:00,2013-10-13 01:05:00,M1.7
2013-10-15 08:26:00,2013-10-15 08:48:00,M1.8
2013-10-15 23:31:00,2013-10-15 23:41:00,M1.3
2013-10-17 15:09:00,2013-10-17 15:58:00,M1.2
2013-10-22 00:14:00,2013-10-22 00:28:00,M1.0
2013-10-22 14:49:00,2013-10-22 15:28:00,M1.0
2013-10-22 21:15:00,2013-10-22 21:22:00,M4.2
2013-10-23 20:41:00,2013-10-23 20:59:00,M2.7
2013-10-23 23:33:00,2013-10-23 23:47:00,M1.4
2013-10-23 23:58:00,2013-10-24 00:16:00,M3.1
2013-10-24 00:21:00,2013-10-24 00:35:00,M9.3
2013-10-24 09:59:00,2013-10-24 10:17:00,M2.5
2013-10-24 10:30:00,2013-10-24 10:37:00,M3.5
2013-10-25 02:48:00,2013-10-25 03:12:00,M2.9
2013-10-25 09:43:00,2013-10-25 10:25:00,M1.0
2013-10-25 17:02:00,2013-10-25 17:16:00,M1.3
2013-10-25 19:05:00,2013-10-25 19:24:00,M2.3
2013-10-25 20:54:00,2013-10-25 21:13:00,M1.9
2013-10-26 05:59:00,2013-10-26 06:20:00,M2.3
