logte,A94,A131,A171,A193,A211,A304,A335
8.1999998,1.4078002117475684e-29,1.6186822194938676e-28,1.2381987576379515e-28,3.445754235030737e-28,1.4090539884262696e-28,1.4819334507900503e-29,1.3003336003994594e-29
8.25,1.359180103855607e-29,1.5602758445755576e-28,1.1924167645235023e-28,2.9466814520733964e-28,1.355446767212673e-28,1.3870460386815448e-29,1.2516950789728699e-29
8.3000002,1.3118721154594002e-29,1.5038730728326292e-28,1.1482472818950379e-28,2.6087028690319074e-28,1.3040764292640326e-28,1.3010337822171194e-29,1.2047929819823981e-29
8.3500004,1.265920271813745e-29,1.4493788069063232e-28,1.105639659603439e-28,2.3725893346628546e-28,1.2547542397805687e-28,1.2227829488236246e-29,1.1595666511272732e-29
8.3999996,1.2214010766563642e-29,1.3967894598679288e-28,1.064588378686845e-28,2.1996412593782105e-28,1.2073866140182285e-28,1.1514340040401715e-29,1.1160092967654189e-29
8.4499998,1.1782663734735285e-29,1.3459844024378223e-28,1.0249887891239164e-28,2.0661472794156757e-28,1.16179706029012e-28,1.0862329519141162e-29,1.0740155209284873e-29
8.5,1.136397926904258e-29,1.2967740270008399e-28,9.866828105328361e-29,1.9573332120128179e-28,1.117770805311878e-28,1.0262922220342139e-29,1.0334357263437555e-29
8.5500002,1.075574632151954e-29,1.2261991353052125e-28,9.323193887274052e-29,1.8310869270676491e-28,1.0557142360516445e-28,9.558354356772127e-30,9.761833711711229e-30
8.6000004,1.0345182004685683e-29,1.1783419272550024e-28,8.952616964811644e-29,1.7463268291058501e-28,1.01330357603572e-28,9.03840405632227e-30,9.370268669713031e-30
8.6499996,9.946781751906872e-30,1.131941008719462e-28,8.594045076549007e-29,1.6688854285047016e-28,9.72300295489019e-29,8.555700426027102e-30,8.991539546129593e-30
8.6999998,9.560402792460172e-30,1.0870584135601224e-28,8.247549332251718e-29,1.5968350075757037e-28,9.327203201919529e-29,8.106835545085e-30,8.62590124239363e-30
8.75,9.186088855263096e-30,1.043632699042282e-28,7.912834669392728e-29,1.5289476589652139e-28,8.94509254335732e-29,7.688049129738973e-30,8.27288973185649e-30
8.8000002,8.823730228318607e-30,1.0016889144248307e-28,7.589790423808188e-29,1.4645000887824028e-28,8.576674329807557e-29,7.297316244068946e-30,7.932502481469558e-30
8.8500004,8.473055739187729e-30,9.6112832816341e-29,7.277899799681337e-29,1.4029516993436775e-28,8.221188304131411e-29,6.930851939044017e-30,7.60400324357149e-30
8.8999996,8.133827895701205e-30,9.21970457731413e-29,6.977074460558103e-29,1.344012047894623e-28,7.878578574681221e-29,6.58739584540073e-30,7.28739484447487e-30
8.9499998,7.806080194011799e-30,8.841815769094252e-29,6.687134206353453e-29,1.2874767345561846e-28,7.548529206088061e-29,6.264284629883747e-30,6.98239761344138e-30
9.0,7.489522675191641e-30,8.477469108163679e-29,6.407791807306814e-29,1.2331888727580706e-28,7.230791774800131e-29,5.960091097088649e-30,6.688766099417307e-30
